Time Period,Rank,Merchant Name,Merchant ID,Order Count,Percentage of Period,Total Period Orders,Period % of Total,Avg Order Amount (KD)
Dinner (6:30-10:00 PM),6,Eat Smart,62277ea95f588e0031c36fac,6305,2.33,270253,27.05,12.57
Dinner (6:30-10:00 PM),7,OAK AND SMOKE,5ce53f054c2e18001cd22d21,5944,2.2,270253,27.05,12.57
Dinner (6:30-10:00 PM),8,Alowaid,67738325f1087f0031f2b75d,5174,1.91,270253,27.05,12.57
Dinner (6:30-10:00 PM),9,Juna Bakery,61e55d0a5ff3c6002645cfdb,4664,1.73,270253,27.05,12.57
Dinner (6:30-10:00 PM),10,My Favorite Bakery,633d4531bf1223002c9deb16,4500,1.67,270253,27.05,12.57
Late Night (10:00 PM-5:00 AM),1,Mais Alghanim,61adcc74480695002bcf4400,15147,13.41,112937,11.3,11.892
Late Night (10:00 PM-5:00 AM),2,Trolley New,607563f4d17aba0039868e50,6812,6.03,112937,11.3,11.892
Late Night (10:00 PM-5:00 AM),3,Ever bakery,5edbdda9d5bef0001c32e654,5847,5.18,112937,11.3,11.892
Late Night (10:00 PM-5:00 AM),4,Cari,686e278582dcb1004ea5f6d9,4659,4.13,112937,11.3,11.892
Late Night (10:00 PM-5:00 AM),5,Zyda,5bea9cdfdf58b70019345ea7,3892,3.45,112937,11.3,11.892
Late Night (10:00 PM-5:00 AM),6,Alowaid,67738325f1087f0031f2b75d,3165,2.8,112937,11.3,11.892
Late Night (10:00 PM-5:00 AM),7,Juna Bakery,61e55d0a5ff3c6002645cfdb,2847,2.52,112937,11.3,11.892
Late Night (10:00 PM-5:00 AM),8,OAK AND SMOKE,5ce53f054c2e18001cd22d21,2456,2.18,112937,11.3,11.892
Late Night (10:00 PM-5:00 AM),9,My Favorite Bakery,633d4531bf1223002c9deb16,2134,1.89,112937,11.3,11.892
Late Night (10:00 PM-5:00 AM),10,Eat Smart,62277ea95f588e0031c36fac,1998,1.77,112937,11.3,11.892
